date,Bank_Rate
31-01-2011,0.5
28-02-2011,0.5
31-03-2011,0.5
30-04-2011,0.5
31-05-2011,0.5
30-06-2011,0.5
31-07-2011,0.5
31-08-2011,0.5
30-09-2011,0.5
31-10-2011,0.5
30-11-2011,0.5
31-12-2011,0.5
31-01-2012,0.5
29-02-2012,0.5
31-03-2012,0.5
30-04-2012,0.5
31-05-2012,0.5
30-06-2012,0.5
31-07-2012,0.5
31-08-2012,0.5
30-09-2012,0.5
31-10-2012,0.5
30-11-2012,0.5
31-12-2012,0.5
31-01-2013,0.5
28-02-2013,0.5
31-03-2013,0.5
30-04-2013,0.5
31-05-2013,0.5
30-06-2013,0.5
31-07-2013,0.5
31-08-2013,0.5
30-09-2013,0.5
31-10-2013,0.5
30-11-2013,0.5
31-12-2013,0.5
31-01-2014,0.5
28-02-2014,0.5
31-03-2014,0.5
30-04-2014,0.5
31-05-2014,0.5
30-06-2014,0.5
31-07-2014,0.5
31-08-2014,0.5
30-09-2014,0.5
31-10-2014,0.5
30-11-2014,0.5
31-12-2014,0.5
31-01-2015,0.5
28-02-2015,0.5
31-03-2015,0.5
30-04-2015,0.5
31-05-2015,0.5
30-06-2015,0.5
31-07-2015,0.5
31-08-2015,0.5
30-09-2015,0.5
31-10-2015,0.5
30-11-2015,0.5
31-12-2015,0.5
31-01-2016,0.5
29-02-2016,0.5
31-03-2016,0.5
30-04-2016,0.5
31-05-2016,0.5
30-06-2016,0.5
31-07-2016,0.5
31-08-2016,0.25
30-09-2016,0.25
31-10-2016,0.25
30-11-2016,0.25
31-12-2016,0.25
31-01-2017,0.25
28-02-2017,0.25
31-03-2017,0.25
30-04-2017,0.25
31-05-2017,0.25
30-06-2017,0.25
31-07-2017,0.25
31-08-2017,0.25
30-09-2017,0.25
31-10-2017,0.25
30-11-2017,0.5
31-12-2017,0.5
31-01-2018,0.5
28-02-2018,0.5
31-03-2018,0.5
30-04-2018,0.5
31-05-2018,0.5
30-06-2018,0.5
31-07-2018,0.5
31-08-2018,0.75
30-09-2018,0.75
31-10-2018,0.75
30-11-2018,0.75
31-12-2018,0.75
31-01-2019,0.75
28-02-2019,0.75
31-03-2019,0.75
30-04-2019,0.75
31-05-2019,0.75
30-06-2019,0.75
31-07-2019,0.75
31-08-2019,0.75
30-09-2019,0.75
31-10-2019,0.75
30-11-2019,0.75
31-12-2019,0.75
31-01-2020,0.75
29-02-2020,0.75
31-03-2020,0.1
30-04-2020,0.1
31-05-2020,0.1
30-06-2020,0.1
31-07-2020,0.1
31-08-2020,0.1
30-09-2020,0.1
31-10-2020,0.1
30-11-2020,0.1
31-12-2020,0.1
31-01-2021,0.1
28-02-2021,0.1
31-03-2021,0.1
30-04-2021,0.1
31-05-2021,0.1
30-06-2021,0.1
31-07-2021,0.1
31-08-2021,0.1
30-09-2021,0.1
31-10-2021,0.1
30-11-2021,0.1
31-12-2021,0.25
31-01-2022,0.25
28-02-2022,0.5
31-03-2022,0.75
30-04-2022,0.75
31-05-2022,1
30-06-2022,1.25
31-07-2022,1.25
31-08-2022,1.75
30-09-2022,2.25
31-10-2022,2.25
30-11-2022,3
31-12-2022,3.5
31-01-2023,3.5
28-02-2023,4
31-03-2023,4.25
30-04-2023,4.25
31-05-2023,4.5
30-06-2023,5
31-07-2023,5
31-08-2023,5.25
30-09-2023,5.25
31-10-2023,5.25
30-11-2023,5.25
31-12-2023,5.25
31-01-2024,5.25
29-02-2024,5.25
31-03-2024,5.25
30-04-2024,5.25
31-05-2024,5.25
30-06-2024,5.25
