date,BEV_Registrations,Total_Vehicle_Registrations,BEV_Share,Charging_Infrastructure,RHDI_per_head,CPI,Petrol_Price,PiCG_Amount_GBP,GT_Index,market_share,market_share_pct,bev_growth_rate,bev_growth_rate_annual,growth_acceleration,cumulative_bev,adoption_velocity,market_momentum,month,quarter,is_march,is_september,is_plate_month,policy_regime,policy_change,policy_introduction,policy_reduction,policy_removal,policy_stable,months_since_policy_change,pre_2016,policy_active,post_policy,real_income_index,income_growth,inflation_rate,high_inflation,fuel_cost_advantage,fuel_price_normalized,high_fuel_prices,economic_stress,year,time_trend,time_trend_squared,covid_period,interest_momentum,interest_volatility,high_interest
2011-01-31,54,424100,0.0001273284602688,0,5129.0,91.3,127.4,5000.0,-1.574770773452645,0.0001273284602688,0.01273284602688,,,,54,,,1,1,0,0,0,Medium_Grant,,0,0,0,0,0.0,1,1,0,5617.743702081051,,,0,-0.013600000000000001,-0.1359007207160942,0,0,2011,1,1,0,-1.574770773452645,,0
2011-02-28,36,360400,9.988901220865704e-05,0,5088.0,92.0,129.0,5000.0,-2.017974768939793,9.988901220865704e-05,0.009988901220865704,-0.33333333333333337,,,90,,,2,1,0,0,0,Medium_Grant,0.0,0,0,0,1,0.9198423127463863,1,1,0,5530.434782608695,-0.015541634524909531,,0,-0.013142857142857144,-0.0348378407573749,0,0,2011,2,4,0,-1.796372771196219,,0
2011-03-31,320,662000,0.0004833836858006,0,5047.0,92.2,132.25,5000.0,-1.7198076404579006,0.0004833836858006,0.04833836858006,7.888888888888889,,8.222222222222223,410,,,3,1,1,0,1,Medium_Grant,0.0,0,0,0,1,1.938239159001314,1,1,0,5473.969631236442,-0.01020989372297021,,0,-0.01221428571428572,0.17044613415877438,0,0,2011,3,9,0,-1.770851060950113,0.22596795898003225,0
2011-04-30,320,434400,0.0007366482504604,0,5063.3333,93.2,134.29,5000.0,-2.0179747689397924,0.0007366482504604,0.07366482504604001,0.0,,-7.888888888888889,730,,4.6538625048438815,4,2,0,0,0,Medium_Grant,0.0,0,0,0,1,2.923784494086728,1,1,0,5432.761051502146,-0.007528097981973625,,0,-0.011631428571428577,0.2993013061061414,0,0,2011,4,16,0,-1.9185857261124954,0.22205527259305613,0
2011-05-31,38,447300,8.495416946121172e-05,0,5079.6667,93.4,136.28,5000.0,-1.9952050944405493,8.495416946121172e-05,0.008495416946121171,-0.88125,,-0.88125,768,,4.162759177621486,5,2,0,0,0,Medium_Grant,0.0,0,0,0,1,3.9421813403416555,1,1,0,5438.615310492505,0.0010775844795787304,,0,-0.011062857142857145,0.42499826305479954,0,0,2011,5,25,0,-1.9109958346127476,0.20559039631203663,0
2011-06-30,218,479000,0.0004551148225469,0,5096.0,93.3,135.59,5000.0,-2.0395285727232,0.0004551148225469,0.045511482254690004,4.7368421052631575,,5.618092105263157,986,,3.857366184251824,6,2,0,0,0,Medium_Grant,0.0,0,0,0,1,4.92772667542707,1,1,0,5461.950696677385,0.004290685193317545,,0,-0.01126,0.38141489607260187,0,0,2011,6,36,0,-2.017569478701181,0.19718546356736907,0
2011-07-31,336,429200,0.0007828518173345,0,5093.3333,93.3,134.56,5000.0,-2.0622982472224427,0.0007828518173345,0.07828518173345,0.5412844036697249,,-4.195557701593433,1322,1.9920720107480732,3.522579655157863,7,3,0,0,0,Medium_Grant,0.0,0,0,0,1,5.946123521681997,1,1,0,5459.092497320472,-0.0005232927786499308,,0,-0.011554285714285711,0.316355667099176,0,0,2011,7,49,0,-2.032343971462064,0.12728603371957695,0
2011-08-31,36,357300,0.0001007556675062,0,5090.6667,93.8,135.47,5000.0,-2.0395285727232,0.0001007556675062,0.010075566750620001,-0.8928571428571429,,-1.4341415465268676,1358,1.5799392745187564,3.602942284470533,8,3,0,0,0,Medium_Grant,0.0,0,0,0,1,6.964520367936925,1,1,0,5427.15,-0.005851246766042317,,0,-0.011294285714285715,0.3738351800756976,0,0,2011,8,64,0,-2.047118464222948,0.12901806971936056,0
2011-09-30,38,629800,6.033661479834869e-05,0,5088.0,94.4,135.17,5000.0,-2.0395285727232,6.033661479834869e-05,0.006033661479834869,0.05555555555555558,,0.9484126984126985,1396,1.3893913096483566,2.1069305411049037,9,3,0,1,1,Medium_Grant,0.0,0,0,0,1,7.9500657030223385,1,1,0,5389.830508474576,-0.006876443718235814,,0,-0.011380000000000008,0.35488589008343696,0,0,2011,9,81,0,-2.047118464222948,0.022969041293524443,0
2011-10-31,218,431800,0.0005048633626679,0,5078.3333,94.5,134.67,5000.0,-2.0610823765066058,0.0005048633626679,0.05048633626679,4.7368421052631575,,4.681286549707602,1614,1.76133028693889,2.656067055321607,10,4,0,0,0,Medium_Grant,0.0,0,0,0,1,8.968462549277266,1,1,0,5373.897671957672,-0.0029560923097400327,,0,-0.011522857142857154,0.32330374009633706,0,0,2011,10,100,0,-2.0467131739843354,0.024280013432480308,0
2011-11-30,38,433100,8.773955206649734e-05,0,5068.6667,94.6,133.66,5000.0,-2.085067921721686,8.773955206649734e-05,0.008773955206649734,-0.8256880733944953,,-5.562530178657653,1652,1.5026284509055514,2.6466753012515984,11,4,0,0,0,Medium_Grant,0.0,0,0,0,1,9.95400788436268,1,1,0,5357.998625792812,-0.0029585688331628113,,0,-0.011811428571428577,0.25950779712239586,0,0,2011,11,121,0,-2.061892956983831,0.018498480408115442,0
2011-12-31,36,418900,8.59393650035808e-05,0,5059.0,95.1,132.55,5000.0,-2.059866505790769,8.59393650035808e-05,0.008593936500358081,-0.052631578947368474,,0.7730564944471269,1688,1.3612411754643767,2.1023906620091646,12,4,0,0,0,Medium_Grant,0.0,0,0,0,1,10.972404730617608,1,1,0,5319.663512092534,-0.0071547449668496466,,0,-0.012128571428571426,0.18939542415103502,0,0,2011,12,144,0,-2.068672268006354,0.017008549415489974,0
2012-01-31,26,424100,6.130629568497996e-05,0,5093.6667,94.6,133.24,5000.0,-1.820521029180506,6.130629568497996e-05,0.0061306295684979955,-0.2777777777777778,-0.5185185185185186,-0.22514619883040932,1714,1.2246562626941973,2.1328493369013337,1,1,0,0,0,Medium_Grant,0.0,0,0,0,1,11.990801576872535,1,1,0,5384.425687103594,0.012174111175235813,3.6144578313253017,0,-0.011931428571428572,0.23297879113323272,0,0,2012,13,169,0,-1.988485152230987,0.0980111630155346,0
2012-02-29,18,359000,5.013927576601672e-05,0,5128.3333,95.1,135.14,5000.0,-1.9952050944405493,5.013927576601672e-05,0.005013927576601672,-0.3076923076923077,-0.5,-0.02991452991452992,1732,1.2267930148309494,2.0712566407916877,2,1,0,0,0,Medium_Grant,0.0,0,0,0,1,12.943495400788436,1,1,0,5392.569190325973,0.0015124181659491587,3.3695652173912904,0,-0.011388571428571435,0.35299096108421085,0,0,2012,14,196,0,-1.9585308764706084,0.09769760204749926,0
2012-03-31,336,667900,0.0005030693217547,0,5163.0,95.4,138.41,5000.0,-1.9736512906571435,0.0005030693217547,0.05030693217547,17.666666666666668,0.050000000000000044,17.974358974358974,2068,2.041607829645764,7.243293605780369,3,1,1,0,1,Medium_Grant,0.0,0,0,0,1,13.961892247043364,1,1,0,5411.949685534591,0.003593926109169754,3.470715835141003,0,-0.010454285714285722,0.5595382219998448,1,0,2012,15,225,0,-1.9297924714260664,0.09744538734450713,0
2012-04-30,236,439300,0.0005372183018438,0,5174.3333,96.0,141.58,5000.0,-1.9736512906571435,0.0005372183018438,0.053721830184379996,-0.29761904761904767,-0.26249999999999996,-17.964285714285715,2304,2.016806242344177,7.360613870570903,4,2,0,0,0,Medium_Grant,0.0,0,0,0,1,14.947437582128778,1,1,0,5389.9305208333335,-0.004068619625217762,3.0042918454935563,0,-0.009548571428571427,0.7597690529180591,1,0,2012,16,256,0,-1.980835891918279,0.09277171269015505,0
2012-05-31,236,459000,0.0005141612200435,0,5185.6667,95.9,137.14,5000.0,-2.017974768939793,0.0005141612200435,0.05141612200435,0.0,5.2105263157894735,0.29761904761904767,2540,2.090243742344177,7.289995901950841,5,2,0,0,0,Medium_Grant,0.0,0,0,0,1,15.965834428383705,1,1,0,5407.368821689259,0.0032353479861237933,2.676659528907921,0,-0.010817142857142859,0.4793195610326104,1,0,2012,17,289,0,-1.9884257834180268,0.0816221758991972,0
2012-06-30,336,485600,0.0006919275123558,0,5197.0,95.5,132.82,5000.0,-2.0395285727232,0.0006919275123558,0.06919275123558,0.423728813559322,0.5412844036697249,0.423728813559322,2876,1.7308176347021906,7.255377372387022,6,2,0,0,0,Medium_Grant,0.0,0,0,0,1,16.95137976346912,1,1,0,5441.884816753926,0.006383140525983988,2.3579849946409492,0,-0.012051428571428581,0.2064497851440678,0,0,2012,18,324,0,-2.0103848774400457,0.07764235577409953,0
2012-07-31,236,441700,0.0005342992981661,0,5184.6667,95.6,131.61,5000.0,-2.0610823765066058,0.0005342992981661,0.05342992981661,-0.29761904761904767,-0.29761904761904767,-0.7213478611783697,3112,1.6609090137614595,7.257102176570205,7,3,0,0,0,Medium_Grant,0.0,0,0,0,1,17.969776609724047,1,1,0,5423.291527196652,-0.0034167003131031493,2.4651661307609762,0,-0.012397142857142857,0.13002098217528738,0,0,2012,19,361,0,-2.0395285727231998,0.03579410581885905,0
2012-08-31,54,357500,0.0001510489510489,0,5172.3333,96.1,135.12,5000.0,-2.016758898223956,0.0001510489510489,0.01510489510489,-0.771186440677966,0.5,-0.4735673930589184,3166,1.6710482389430579,7.299963551262815,8,3,0,0,0,Medium_Grant,0.0,0,0,0,1,18.988173455978973,1,1,0,5382.2406867846,-0.0075693589780654325,2.452025586353934,0,-0.011394285714285718,0.351727675084728,0,0,2012,20,400,0,-2.0391232824845873,0.035064512514097305,0
2012-09-30,54,655800,8.234217749313815e-05,0,5160.0,96.5,138.98,5000.0,-1.9520974868737369,8.234217749313815e-05,0.008234217749313816,0.0,0.42105263157894735,0.771186440677966,3220,1.6664186093134281,0.4008282153855046,9,3,0,1,1,Medium_Grant,0.0,0,0,0,1,19.97371879106439,1,1,0,5347.150259067357,-0.006519668992767791,2.2245762711864403,0,-0.010291428571428576,0.5955418729851383,1,0,2012,21,441,0,-2.009979587201433,0.04065551841261586,0
2012-10-31,436,449700,0.0009695352457193,0,5163.3333,97.0,138.06,5000.0,-1.6916867863691198,0.0009695352457193,0.09695352457193,7.074074074074074,1.0,7.074074074074074,3656,1.861187940047671,2.967042561539675,10,4,0,0,0,Medium_Grant,0.0,0,0,0,1,20.992115637319316,1,1,0,5323.024020618557,-0.004511980640134139,2.645502645502651,0,-0.010554285714285717,0.5374307170088752,1,0,2012,22,484,0,-1.8868477238222712,0.13792645262386727,0
