date,Petrol_Price,Diesel_Price
31-01-2011,127.4,131.86
28-02-2011,129,134.07
31-03-2011,132.25,138.43
30-04-2011,134.29,140.81
31-05-2011,136.28,141.53
30-06-2011,135.59,139.54
31-07-2011,134.56,138.85
31-08-2011,135.47,139.9
30-09-2011,135.17,139.59
31-10-2011,134.67,139.9
30-11-2011,133.66,140.78
31-12-2011,132.55,140.91
31-01-2012,133.24,141.61
29-02-2012,135.14,143.04
31-03-2012,138.41,145.65
30-04-2012,141.58,147.75
31-05-2012,137.14,143.29
30-06-2012,132.82,138.61
31-07-2012,131.61,137.03
31-08-2012,135.12,140.3
30-09-2012,138.98,143.77
31-10-2012,138.06,143.16
30-11-2012,135.12,141.74
31-12-2012,132.29,140.28
31-01-2013,132.26,140.04
28-02-2013,136.32,143.66
31-03-2013,138.54,145.56
30-04-2013,136.41,141.71
31-05-2013,133.34,138.51
30-06-2013,134.33,139.44
31-07-2013,135.01,139.85
31-08-2013,137,141.75
30-09-2013,136.51,141.91
31-10-2013,131.56,138.96
30-11-2013,129.89,137.5
31-12-2013,130.41,138.29
31-01-2014,129.75,137.66
28-02-2014,129,136.86
31-03-2014,128.97,136.48
30-04-2014,128.95,136.03
31-05-2014,129.43,136.26
30-06-2014,130.01,135.9
31-07-2014,131.02,135.89
31-08-2014,129.17,133.76
30-09-2014,128.4,133.11
31-10-2014,125.95,130.56
30-11-2014,122.92,127.66
31-12-2014,116.83,122.9
31-01-2015,108.27,115.56
28-02-2015,107,114.5
31-03-2015,110.8,118.02
30-04-2015,112.83,119.24
31-05-2015,115.28,120.74
30-06-2015,116.39,121.23
31-07-2015,116.5,118.74
31-08-2015,114.12,112.48
30-09-2015,110.4,110.18
31-10-2015,108.74,110.78
30-11-2015,107.19,110.16
31-12-2015,103.8,107.86
31-01-2016,101.78,103.52
29-02-2016,101.43,101.14
31-03-2016,102.29,103.06
30-04-2016,105.86,106.48
31-05-2016,108.69,109.5
30-06-2016,111.02,112.07
31-07-2016,111.79,112.96
31-08-2016,110.03,111.82
30-09-2016,111.23,113.28
31-10-2016,113.79,116.05
30-11-2016,115.37,117.96
31-12-2016,114.58,117.98
31-01-2017,118.61,121.87
28-02-2017,120.16,123.16
31-03-2017,119.2,122.15
30-04-2017,117.41,120.26
31-05-2017,116.44,118.68
30-06-2017,115.26,117.29
31-07-2017,113.87,115.64
31-08-2017,115.69,117.59
30-09-2017,118.2,120.06
31-10-2017,117.28,120.52
30-11-2017,119.07,122.77
31-12-2017,119.91,123.54
31-01-2018,120.97,124.49
28-02-2018,120.84,124.41
31-03-2018,119.2,122.9
30-04-2018,120.72,124.46
31-05-2018,125.28,129.24
30-06-2018,128.04,132.05
31-07-2018,127.2,131.61
31-08-2018,128.6,132.78
30-09-2018,130.3,134.33
31-10-2018,130.51,136.19
30-11-2018,128.06,136.48
31-12-2018,121.7,131.86
31-01-2019,119.55,129.45
28-02-2019,119.09,129.3
31-03-2019,120.28,130.71
30-04-2019,124.06,133.02
31-05-2019,128.28,135.76
30-06-2019,128.16,134.34
31-07-2019,127.26,131.98
31-08-2019,128.28,132.58
30-09-2019,127.25,131.78
31-10-2019,126.49,131.4
30-11-2019,125.51,130.31
31-12-2019,124.6,129.9
31-01-2020,126.94,132.47
29-02-2020,124.46,129.26
31-03-2020,119.42,123.85
30-04-2020,109,115.98
31-05-2020,106.24,113.42
30-06-2020,106.54,112.67
31-07-2020,111.39,116.73
31-08-2020,113.1,118.06
30-09-2020,113.32,118.18
31-10-2020,113.19,118.08
30-11-2020,112.6,117.39
31-12-2020,114.08,118.84
31-01-2021,116.64,121.2
28-02-2021,120.15,124.63
31-03-2021,123.74,128.12
30-04-2021,125.48,129.5
31-05-2021,127.17,130.96
30-06-2021,129.75,133.38
31-07-2021,132.71,135.39
31-08-2021,134.6,137.05
30-09-2021,134.89,137.42
31-10-2021,138.64,142.24
30-11-2021,145.78,149.62
31-12-2021,145.8,149.55
31-01-2022,145.05,148.94
28-02-2022,147.57,151.68
31-03-2022,160.23,170.49
30-04-2022,161.8,176.12
31-05-2022,165.84,179.71
30-06-2022,183.82,192.29
31-07-2022,189.42,197.84
31-08-2022,175.17,186.56
30-09-2022,166.5,181.66
31-10-2022,163.61,183.95
30-11-2022,163.61,187.94
31-12-2022,155.29,179.15
31-01-2023,149.21,172.08
28-02-2023,147.93,169.47
31-03-2023,146.73,166.45
30-04-2023,145.83,162.47
31-05-2023,144.45,154.69
30-06-2023,143,145.69
31-07-2023,143.23,145.19
31-08-2023,148.52,151.06
30-09-2023,153.57,157.39
31-10-2023,155.13,162.18
30-11-2023,151.02,158.97
31-12-2023,142.84,151.43
31-01-2024,139.86,148.26
29-02-2024,142.16,151.25
31-03-2024,144.8,154.13
30-04-2024,148.07,157.14
31-05-2024,148.81,156.31
30-06-2024,145.76,151.52
