date,BEV_Registrations,Total_Vehicle_Registrations,BEV_Share,Charging_Infrastructure,RHDI_per_head,CPI,Petrol_Price,PiCG_Amount_GBP,GT_Index,market_share,market_share_pct,bev_growth_rate,bev_growth_rate_annual,growth_acceleration,cumulative_bev,adoption_velocity,market_momentum,month,quarter,is_march,is_september,is_plate_month,policy_regime,policy_change,policy_introduction,policy_reduction,policy_removal,policy_stable,months_since_policy_change,pre_2016,policy_active,post_policy,real_income_index,income_growth,inflation_rate,high_inflation,fuel_cost_advantage,fuel_price_normalized,high_fuel_prices,economic_stress,year,time_trend,time_trend_squared,covid_period,interest_momentum,interest_volatility,high_interest,BEV_Share_lag_1,BEV_Share_lag_3,BEV_Share_lag_6,BEV_Share_lag_12,RHDI_per_head_lag_1,RHDI_per_head_lag_3,RHDI_per_head_lag_6,RHDI_per_head_lag_12,Petrol_Price_lag_1,Petrol_Price_lag_3,Petrol_Price_lag_6,Petrol_Price_lag_12,GT_Index_lag_1,GT_Index_lag_3,GT_Index_lag_6,GT_Index_lag_12,Charging_Infrastructure_lag_1,Charging_Infrastructure_lag_3,Charging_Infrastructure_lag_6,Charging_Infrastructure_lag_12,BEV_Share_rolling_mean_1,BEV_Share_rolling_std_1,BEV_Share_rolling_mean_3,BEV_Share_rolling_std_3,BEV_Share_rolling_mean_6,BEV_Share_rolling_std_6,BEV_Share_rolling_mean_12,BEV_Share_rolling_std_12,RHDI_per_head_rolling_mean_1,RHDI_per_head_rolling_std_1,RHDI_per_head_rolling_mean_3,RHDI_per_head_rolling_std_3,RHDI_per_head_rolling_mean_6,RHDI_per_head_rolling_std_6,RHDI_per_head_rolling_mean_12,RHDI_per_head_rolling_std_12,Petrol_Price_rolling_mean_1,Petrol_Price_rolling_std_1,Petrol_Price_rolling_mean_3,Petrol_Price_rolling_std_3,Petrol_Price_rolling_mean_6,Petrol_Price_rolling_std_6,Petrol_Price_rolling_mean_12,Petrol_Price_rolling_std_12,GT_Index_rolling_mean_1,GT_Index_rolling_std_1,GT_Index_rolling_mean_3,GT_Index_rolling_std_3,GT_Index_rolling_mean_6,GT_Index_rolling_std_6,GT_Index_rolling_mean_12,GT_Index_rolling_std_12,Charging_Infrastructure_rolling_mean_1,Charging_Infrastructure_rolling_std_1,Charging_Infrastructure_rolling_mean_3,Charging_Infrastructure_rolling_std_3,Charging_Infrastructure_rolling_mean_6,Charging_Infrastructure_rolling_std_6,Charging_Infrastructure_rolling_mean_12,Charging_Infrastructure_rolling_std_12,GT_x_Income,FuelPrice_x_Policy,Infrastructure_x_Momentum
2011-01-31,54,424100,0.0001273284602688,0,5129.0,91.3,127.4,5000.0,-1.574770773452645,0.0001273284602688,0.01273284602688,,,,54,,,1,1,0,0,0,Medium_Grant,,0,0,0,0,0.0,1,1,0,5617.743702081051,,,0,-0.0136,-0.1359007207160942,0,0,2011,1,1,0,-1.574770773452645,,0,,,,,,,,,,,,,,,,,,,,,0.0001273284602688,,,,,,,,5129.0,,,,,,,,127.4,,,,,,,,-1.574770773452645,,,,,,,,0.0,,,,,,,,-8076.9992970386165,637000.0,
2011-02-28,36,360400,9.988901220865704e-05,0,5088.0,92.0,129.0,5000.0,-2.017974768939793,9.988901220865704e-05,0.0099889012208657,-0.3333333333333333,,,90,,,2,1,0,0,0,Medium_Grant,0.0,0,0,0,1,0.9198423127463864,1,1,0,5530.434782608695,-0.0155416345249095,,0,-0.0131428571428571,-0.0348378407573749,0,0,2011,2,4,0,-1.796372771196219,,0,0.0001273284602688,,,,5129.0,,,,127.4,,,,-1.574770773452645,,,,0.0,,,,9.988901220865704e-05,,,,,,,,5088.0,,,,,,,,129.0,,,,,,,,-2.017974768939793,,,,,,,,0.0,,,,,,,,-10267.455624365666,645000.0,
2011-03-31,320,662000,0.0004833836858006,0,5047.0,92.2,132.25,5000.0,-1.7198076404579006,0.0004833836858006,0.04833836858006,7.888888888888889,,8.222222222222223,410,,,3,1,1,0,1,Medium_Grant,0.0,0,0,0,1,1.938239159001314,1,1,0,5473.969631236442,-0.0102098937229702,,0,-0.0122142857142857,0.1704461341587743,0,0,2011,3,9,0,-1.770851060950113,0.2259679589800322,0,9.988901220865704e-05,,,,5088.0,,,,129.0,,,,-2.017974768939793,,,,0.0,,,,0.0004833836858006,,0.00023686705275935234,0.0002139300553965155,,,,,5047.0,,5088.0,41.0,,,,,132.25,,129.54999999999998,2.4713356712514907,,,,,-1.7198076404579006,,-1.770851060950113,0.22596795898003225,,,,,0.0,,0.0,0.0,,,,,-8679.869161391025,661250.0,
2011-04-30,320,434400,0.0007366482504604,0,5063.3333,93.2,134.29,5000.0,-2.0179747689397924,0.0007366482504604,0.07366482504604,0.0,,-7.888888888888889,730,,4.6538625048438815,4,2,0,0,0,Medium_Grant,0.0,0,0,0,1,2.923784494086728,1,1,0,5432.761051502146,-0.0075280979819736,,0,-0.0116314285714285,0.2993013061061414,0,0,2011,4,16,0,-1.9185857261124957,0.2220552725930561,0,0.0004833836858006,0.0001273284602688,,,5047.0,5129.0,,,132.25,127.4,,,-1.7198076404579006,-1.574770773452645,,,0.0,0.0,,,0.0007366482504604,,0.00043997364948988567,0.00032059149289104374,,,,,5063.3333,,5066.1111,20.640666889177766,,,,,134.29,,131.84666666666666,2.667964267626823,,,,,-2.0179747689397924,,-1.9185857261124954,0.172146871892518,,,,,0.0,,0.0,0.0,,,,,-10217.678846132658,671450.0,0.0
2011-05-31,38,447300,8.495416946121172e-05,0,5079.6667,93.4,136.28,5000.0,-1.9952050944405493,8.495416946121172e-05,0.0084954169461211,-0.88125,,-0.88125,768,,4.162759177621486,5,2,0,0,0,Medium_Grant,0.0,0,0,0,1,3.942181340341656,1,1,0,5438.615310492505,0.0010775844795787,,0,-0.0110628571428571,0.4249982630547995,0,0,2011,5,25,0,-1.910995834612748,0.2055903963120366,0,0.0007366482504604,9.988901220865704e-05,,,5063.3333,5088.0,,,134.29,129.0,,,-2.0179747689397924,-2.017974768939793,,,0.0,0.0,,,8.495416946121172e-05,,0.00043499536857407066,0.0003285306161309104,,,,,5079.6667,,5063.333333333333,16.333350000025508,,,,,136.28,,134.2733333333333,2.015051694953195,,,,,-1.9952050944405493,,-1.9109958346127476,0.1659647815271177,,,,,0.0,,0.0,0.0,,,,,-10134.976877900013,681400.0,0.0
2011-06-30,218,479000,0.0004551148225469,0,5096.0,93.3,135.59,5000.0,-2.0395285727232,0.0004551148225469,0.04551148225469,4.7368421052631575,,5.618092105263157,986,,3.857366184251824,6,2,0,0,0,Medium_Grant,0.0,0,0,0,1,4.92772667542707,1,1,0,5461.950696677385,0.0042906851933175,,0,-0.01126,0.3814148960726018,0,0,2011,6,36,0,-2.017569478701181,0.197185463567369,0,8.495416946121172e-05,0.0004833836858006,,,5079.6667,5047.0,,,136.28,132.25,,,-1.9952050944405493,-1.7198076404579006,,,0.0,0.0,,,0.0004551148225469,,0.0004255724141561706,0.0003268499032009764,0.0003312197334577615,0.0002678090460678068,,,5096.0,,5079.666666666667,16.333350000025508,5083.833333333333,28.283292987604263,,,135.59,,135.38666666666666,1.0104619405666966,132.46833333333333,3.615441420721228,,,-2.0395285727232,,-2.017569478701181,0.022164518422496827,-1.8942102698256467,0.19718546356736907,,,0.0,,0.0,0.0,0.0,0.0,,,-10393.437606597428,677950.0,0.0
2011-07-31,336,429200,0.0007828518173345,0,5093.3333,93.3,134.56,5000.0,-2.0622982472224427,0.0007828518173345,0.07828518173345,0.5412844036697249,,-4.195557701593433,1322,1.9920720107480727,3.522579655157863,7,3,0,0,0,Medium_Grant,0.0,0,0,0,1,5.946123521681997,1,1,0,5459.092497320472,-0.0005232927786499,,0,-0.0115542857142857,0.316355667099176,0,0,2011,7,49,0,-2.032343971462064,0.1272860337195769,0,0.0004551148225469,0.0007366482504604,0.0001273284602688,,5096.0,5063.3333,5129.0,,135.59,134.29,127.4,,-2.0395285727232,-2.0179747689397924,-1.574770773452645,,0.0,0.0,0.0,,0.0007828518173345,,0.00044097360311420386,0.00034916366118490884,0.00044047362630204477,0.0002997965426996089,,,5093.3333,,5089.666666666667,8.76226695686263,5077.888883333333,19.172511495306487,,,134.56,,135.47666666666666,0.8655826554025933,133.66166666666666,2.664578140469284,,,-2.0622982472224427,,-2.032343971462064,0.03411871420517873,-1.97546484878728,0.12728603371957695,,,0.0,,0.0,0.0,0.0,0.0,,,-10503.9723371097,672800.0,0.0
2011-08-31,36,357300,0.0001007556675062,0,5090.6667,93.8,135.47,5000.0,-2.0395285727232,0.0001007556675062,0.01007556675062,-0.8928571428571429,,-1.4341415465268676,1358,1.5799392745187564,3.602942284470533,8,3,0,0,0,Medium_Grant,0.0,0,0,0,1,6.964520367936925,1,1,0,5427.15,-0.0058512467660423,,0,-0.0112942857142857,0.3738351800756976,0,0,2011,8,64,0,-2.047118464222948,0.1290180697193605,0,0.0007828518173345,8.495416946121172e-05,9.988901220865704e-05,,5093.3333,5079.6667,5088.0,,134.56,136.28,129.0,,-2.0622982472224427,-1.9952050944405493,-2.017974768939793,,0.0,0.0,0.0,,0.0001007556675062,,0.00044624076912920004,0.0003411346523305611,0.0004406180688516353,0.0002995997737190617,,,5090.6667,,5093.333333333333,2.666650000153694,5078.333333333333,19.48219027159571,,,135.47,,135.20666666666668,0.5632347053705045,134.74,1.4185908501044586,,,-2.0395285727232,,-2.047118464222948,0.013146077701494046,-1.9790571494178477,0.12901806971936056,,,0.0,,0.0,0.0,0.0,0.0,,,-10382.560188860523,677350.0,0.0
2011-09-30,38,629800,6.033661479834869e-05,0,5088.0,94.4,135.17,5000.0,-2.0395285727232,6.033661479834869e-05,0.0060336614798348,0.0555555555555555,,0.9484126984126984,1396,1.3893913096483566,2.106930541104904,9,3,0,1,1,Medium_Grant,0.0,0,0,0,1,7.950065703022338,1,1,0,5389.830508474576,-0.0068764437182358,,0,-0.01138,0.3548858900834369,0,0,2011,9,81,0,-2.047118464222948,0.0229690412935244,0,0.0001007556675062,0.0004551148225469,0.0004833836858006,,5090.6667,5096.0,5047.0,,135.47,135.59,132.25,,-2.0395285727232,-2.0395285727232,-1.7198076404579006,,0.0,0.0,0.0,,6.033661479834869e-05,,0.0003146480332130162,0.0004059796947566561,0.00037011022368459346,0.000335188624802759,,,5088.0,,5090.666666666667,2.66665000015449,5085.166666666667,12.077074885031761,,,135.17,,135.06666666666666,0.4637168676399308,135.22666666666666,0.7246700398572803,,,-2.0395285727232,,-2.047118464222948,0.013146077701494046,-2.032343971462064,0.022969041293524443,,,0.0,,0.0,0.0,0.0,0.0,,,-10377.121378015643,675849.9999999999,0.0
2011-10-31,218,431800,0.0005048633626679,0,5078.3333,94.5,134.67,5000.0,-2.0610823765066058,0.0005048633626679,0.05048633626679,4.7368421052631575,,4.681286549707602,1614,1.76133028693889,2.656067055321607,10,4,0,0,0,Medium_Grant,0.0,0,0,0,1,8.968462549277266,1,1,0,5373.897671957672,-0.00295609230974,,0,-0.0115228571428571,0.323303740096337,0,0,2011,10,100,0,-2.0467131739843354,0.0242800134324803,0,6.033661479834869e-05,0.0007828518173345,0.0007366482504604,,5088.0,5093.3333,5063.3333,,135.17,134.56,134.29,,-2.0395285727232,-2.0622982472224427,-2.0179747689397924,,0.0,0.0,0.0,,0.0005048633626679,,0.00022198521499081623,0.0002458118381615569,0.0003314794090525101,0.0002955034061882015,,,5078.3333,,5085.666666666667,6.489339120690737,5087.666666666667,7.235712665568639,,,134.67,,135.10333333333332,0.4041451884333107,135.29,0.6378401053556345,,,-2.0610823765066058,,-2.0467131739843354,0.012444094416405654,-2.0395285727231998,0.024280013432480308,,,0.0,,0.0,0.0,0.0,0.0,,,-10466.863266656634,673349.9999999999,0.0
