date,RHDI_per_head
31-01-2011,5129
28-02-2011,5088
31-03-2011,5047
30-04-2011,5063.3333
31-05-2011,5079.6667
30-06-2011,5096
31-07-2011,5093.3333
31-08-2011,5090.6667
30-09-2011,5088
31-10-2011,5078.3333
30-11-2011,5068.6667
31-12-2011,5059
31-01-2012,5093.6667
29-02-2012,5128.3333
31-03-2012,5163
30-04-2012,5174.3333
31-05-2012,5185.6667
30-06-2012,5197
31-07-2012,5184.6667
31-08-2012,5172.3333
30-09-2012,5160
31-10-2012,5163.3333
30-11-2012,5166.6667
31-12-2012,5170
31-01-2013,5158.3333
28-02-2013,5146.6667
31-03-2013,5135
30-04-2013,5160.6667
31-05-2013,5186.3333
30-06-2013,5212
31-07-2013,5239.3333
31-08-2013,5266.6667
30-09-2013,5294
31-10-2013,5315.6667
30-11-2013,5337.3333
31-12-2013,5359
31-01-2014,5355.3333
28-02-2014,5351.6667
31-03-2014,5348
30-04-2014,5341.6667
31-05-2014,5335.3333
30-06-2014,5329
31-07-2014,5327.3333
31-08-2014,5325.6667
30-09-2014,5324
31-10-2014,5356
30-11-2014,5388
31-12-2014,5420
31-01-2015,5451.3333
28-02-2015,5482.6667
31-03-2015,5514
30-04-2015,5554.3333
31-05-2015,5594.6667
30-06-2015,5635
31-07-2015,5668
31-08-2015,5701
30-09-2015,5734
31-10-2015,5734.3333
30-11-2015,5734.6667
31-12-2015,5735
31-01-2016,5722
29-02-2016,5709
31-03-2016,5696
30-04-2016,5691.6667
31-05-2016,5687.3333
30-06-2016,5683
31-07-2016,5666.6667
31-08-2016,5650.3333
30-09-2016,5634
31-10-2016,5622
30-11-2016,5610
31-12-2016,5598
31-01-2017,5598.3333
28-02-2017,5598.6667
31-03-2017,5599
30-04-2017,5631
31-05-2017,5663
30-06-2017,5695
31-07-2017,5700
31-08-2017,5705
30-09-2017,5710
31-10-2017,5711
30-11-2017,5712
31-12-2017,5713
31-01-2018,5734.3333
28-02-2018,5755.6667
31-03-2018,5777
30-04-2018,5763
31-05-2018,5749
30-06-2018,5735
31-07-2018,5738.6667
31-08-2018,5742.3333
30-09-2018,5746
31-10-2018,5769
30-11-2018,5792
31-12-2018,5815
31-01-2019,5807.3333
28-02-2019,5799.6667
31-03-2019,5792
30-04-2019,5817.6667
31-05-2019,5843.3333
30-06-2019,5869
31-07-2019,5866.3333
31-08-2019,5863.6667
30-09-2019,5861
31-10-2019,5876.6667
30-11-2019,5892.3333
31-12-2019,5908
31-01-2020,5882.3333
29-02-2020,5856.6667
31-03-2020,5831
30-04-2020,5801.6667
31-05-2020,5772.3333
30-06-2020,5743
31-07-2020,5788
31-08-2020,5833
30-09-2020,5878
31-10-2020,5886.6667
30-11-2020,5895.3333
31-12-2020,5904
31-01-2021,5911.6667
28-02-2021,5919.3333
31-03-2021,5927
30-04-2021,5935.3333
31-05-2021,5943.6667
30-06-2021,5952
31-07-2021,5929
31-08-2021,5906
30-09-2021,5883
31-10-2021,5843.6667
30-11-2021,5804.3333
31-12-2021,5765
31-01-2022,5755.3333
28-02-2022,5745.6667
31-03-2022,5736
30-04-2022,5712
31-05-2022,5688
30-06-2022,5664
31-07-2022,5668.3333
31-08-2022,5672.6667
30-09-2022,5677
31-10-2022,5713
30-11-2022,5749
31-12-2022,5785
31-01-2023,5765.6667
28-02-2023,5746.3333
31-03-2023,5727
30-04-2023,5750.6667
31-05-2023,5774.3333
30-06-2023,5798
31-07-2023,5792.6667
31-08-2023,5787.3333
30-09-2023,5782
31-10-2023,5793
30-11-2023,5804
31-12-2023,5815
31-01-2024,5836.3333
29-02-2024,5857.6667
31-03-2024,5879
30-04-2024,5896.6667
31-05-2024,5914.3333
30-06-2024,5932
